shape_k,cv,MD_constrained,MD_unconstrained,gap,sum_err,seed
0.25,2.0,0.08187521617662245,0.0687839130605958,0.013091303116026659,0.0,5
0.25,2.0,0.07470416396799553,0.09170966319334138,-0.017005499225345846,0.0,6
0.25,2.0,0.08569725923357241,0.1192097801233604,-0.033512520889788,0.0,7
0.25,2.0,0.049466313205803546,0.14592217204434088,-0.09645585883853733,0.0,8
0.25,2.0,0.0853900435995847,0.06717989223315284,0.018210151366431865,0.0,9
0.18,2.357,0.18036130417837237,0.1420976915244855,0.038263612653886864,0.0,0
0.18,2.357,0.08740131933132922,0.1940414901894433,-0.10664017085811409,0.0,1
0.18,2.357,0.06794348763173547,0.07915456710897016,-0.011211079477234695,0.0,2
0.18,2.357,0.10623799232840585,0.130911746382095,-0.024673754053689143,0.0,3
0.18,2.357,0.11724043199579706,0.098509436428802,0.018730995566995062,0.0,4
0.18,2.357,0.11390725232961953,0.15271426022977427,-0.03880700790015475,0.0,5
0.18,2.357,0.09978918184423535,0.14186096780452137,-0.04207178596028602,0.0,6
0.18,2.357,0.11621370386476876,0.16694816520233094,-0.05073446133756218,0.0,7
0.18,2.357,0.07598485238499927,0.17430500959398434,-0.09832015720898507,0.0,8
0.18,2.357,0.11980775220089143,0.13025493912096167,-0.01044718692007024,0.0,9
0.12,2.887,0.3292507842849556,0.3311203812381217,-0.0018695969531661305,1.4551915228366852e-11,0
0.12,2.887,0.15596196826664332,0.35211509250157513,-0.1961531242349318,0.0,1
0.12,2.887,0.2725404098677357,0.2850043511169082,-0.012463941249172494,0.0,2
0.12,2.887,0.18394869622373602,0.38154159161570705,-0.19759289539197103,0.0,3
0.12,2.887,0.24856687962663737,0.3540814261000952,-0.10551454647345782,0.0,4
0.12,2.887,0.15923827349615896,0.3118534651799526,-0.15261519168379364,0.0,5
0.12,2.887,0.17714028076600105,0.3313879177224185,-0.15424763695641744,0.0,6
0.12,2.887,0.27353723661793,0.31187176818566203,-0.03833453156773203,0.0,7
0.12,2.887,0.14410182401608357,0.22061717424554322,-0.07651535022945966,0.0,8
0.12,2.887,0.2871732664646505,0.3448504123190387,-0.05767714585438816,0.0,9
