task,baseline,CSC,ran,secs,AME,FIVR,CSAT,DET,seed,input_type,reason
ecommerce_revenue_curve,sdv_gaussian_copula,0,False,,,,,,47,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_ctgan,0,False,,,,,,47,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_hma,0,False,,,,,,47,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,misata,1,True,0.05,0.0,0.0,1.0,,48,nl,
ecommerce_revenue_curve,faker,1,True,0.002,0.9014193794015861,0.0,1.0,,48,schema,
ecommerce_revenue_curve,naive_rescale,1,True,0.029,1.8189894035458566e-16,0.0,1.0,,48,schema,
ecommerce_revenue_curve,sdv_gaussian_copula,0,False,,,,,,48,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_ctgan,0,False,,,,,,48,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_hma,0,False,,,,,,48,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,misata,1,True,0.05,0.0,0.0,1.0,,49,nl,
ecommerce_revenue_curve,faker,1,True,0.002,0.8950301712386638,0.0,1.0,,49,schema,
ecommerce_revenue_curve,naive_rescale,1,True,0.029,1.8189894035458566e-16,0.0,1.0,,49,schema,
ecommerce_revenue_curve,sdv_gaussian_copula,0,False,,,,,,49,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_ctgan,0,False,,,,,,49,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_hma,0,False,,,,,,49,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,misata,1,True,0.049,0.0,0.0,1.0,,50,nl,
ecommerce_revenue_curve,faker,1,True,0.002,0.9067027541627319,0.0,1.0,,50,schema,
ecommerce_revenue_curve,naive_rescale,1,True,0.029,0.0,0.0,1.0,,50,schema,
ecommerce_revenue_curve,sdv_gaussian_copula,0,False,,,,,,50,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_ctgan,0,False,,,,,,50,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_hma,0,False,,,,,,50,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,misata,1,True,0.05,0.0,0.0,1.0,,51,nl,
ecommerce_revenue_curve,faker,1,True,0.002,0.8984230595115985,0.0,1.0,,51,schema,
ecommerce_revenue_curve,naive_rescale,1,True,0.029,1.940255363782247e-16,0.0,1.0,,51,schema,
ecommerce_revenue_curve,sdv_gaussian_copula,0,False,,,,,,51,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_ctgan,0,False,,,,,,51,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_hma,0,False,,,,,,51,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,misata,1,True,0.021,,0.0,,1.0,42,nl,
ecommerce_integrity,faker,1,True,0.001,,0.0,,1.0,42,schema,
ecommerce_integrity,naive_rescale,1,True,0.001,,0.0,,1.0,42,schema,
ecommerce_integrity,sdv_gaussian_copula,0,False,,,,,,42,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_ctgan,0,False,,,,,,42,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_hma,0,False,,,,,,42,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,misata,1,True,0.02,,0.0,,,43,nl,
ecommerce_integrity,faker,1,True,0.001,,0.0,,,43,schema,
ecommerce_integrity,naive_rescale,1,True,0.001,,0.0,,,43,schema,
ecommerce_integrity,sdv_gaussian_copula,0,False,,,,,,43,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_ctgan,0,False,,,,,,43,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_hma,0,False,,,,,,43,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,misata,1,True,0.02,,0.0,,,44,nl,
ecommerce_integrity,faker,1,True,0.001,,0.0,,,44,schema,
ecommerce_integrity,naive_rescale,1,True,0.001,,0.0,,,44,schema,
ecommerce_integrity,sdv_gaussian_copula,0,False,,,,,,44,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_ctgan,0,False,,,,,,44,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_hma,0,False,,,,,,44,,SDV requires source data; task is cold-start (CSC=0)
